Name,Species,Powers,Description,Keywords,Category
Heatblast,Pyronite,Fire Manipulation and Flight,"Heatblast is a red fire alien made of living magma from the planet Pyros. He controls fire, shoots flames, and flies using heat jets. Known as the 'red fire alien' or 'magma alien'.","red fire alien, magma, lava, pyros, flame alien, fire powers",Fire
Four Arms,Tetramand,Super Strength and Durability,Four Arms is a large red muscular alien with four arms from Khoros. Known for extreme strength and shockwave punches. Often recognized as the 'strong red alien'.,"four arms, strong alien, red strong alien, muscular alien",Strength
XLR8,Kineceleran,Super Speed and Reflexes,XLR8 is a blue velociraptor-like speed alien capable of extreme acceleration. Known as the 'fast blue alien' or 'speedster alien'.,"fast alien, blue speed alien, speedster, acceleration",Speed
Diamondhead,Petrosapien,Crystal Manipulation,Diamondhead is a green crystalline alien who can generate and shoot crystal shards. Known as the 'crystal alien'.,"crystal alien, green crystal body, sharp crystals",Elemental
Grey Matter,Galvan,Super Intelligence,Grey Matter is a tiny grey alien with extremely high intelligence. Known as the 'small smart alien'.,"smart alien, small alien, tiny genius alien",Intelligence
Wildmutt,Vulpimancer,Enhanced Senses and Agility,Wildmutt is a beast-like orange alien without eyes who relies on smell and sound. Known as the 'beast alien' or 'dog-like alien'.,"dog alien, beast alien, orange creature",Beast
Alien X,Celestialsapien,Reality Warping,Alien X is a cosmic being with near-omnipotent power. Known as the 'god alien'.,"cosmic alien, god alien, reality manipulation",Cosmic
AmpFibian,Amperi,Electricity Manipulation,AmpFibian is a blue jellyfish-like alien who controls electricity. Known as the 'electric jellyfish alien'.,"electric alien, jellyfish alien, blue electric alien",Electric
Big Chill,Necrofriggian,Cryokinesis & Intangibility,Big Chill is a ghost-like blue alien who freezes objects and turns intangible. Known as the 'blue ghost alien'.,"ghost alien, ice alien, blue ghost, freeze powers",Ice
Armodrillo,Talpaedan,Seismic Punching & Drilling,Armodrillo is a yellow armored alien who drills and creates quakes. Known as the 'drill alien'.,"drill alien, yellow armored alien, seismic powers",Earth
Blitzwolfer,Loboan,Sonic Howl,Blitzwolfer is a wolf-like alien with a powerful sonic howl. Known as the 'wolf alien'.,"wolf alien, sonic scream alien, werewolf alien",Beast
Buzzshock,Nosedeenian,Electrical Discharge,Buzzshock is a small yellow alien that shoots electricity. Known as the 'battery alien'.,"electric alien, yellow alien, battery creature",Electric
EyeGuy,Opticoid,Energy Beam Projection,EyeGuy is covered in eyes that fire powerful energy beams. Known as the 'eye alien'.,"eye alien, beam alien, multi-eyed alien",Energy
Ghostfreak,Ectonurite,Intangibility & Possession,Ghostfreak is a ghost-like alien who becomes invisible and intangible. Known as the 'scary ghost alien'.,"ghost alien, scary alien, intangible alien",Ghost
Goop,Polymorph,Shape-Shifting & Acidic Sludge,Goop is a green slime alien controlled by an anti-gravity disc. Known as the 'slime alien'.,"slime alien, green goo alien, shapeshifter",Slime
Highbreed,Highbreed,Enhanced Strength & Regeneration,Highbreed are tall white elite aliens with great strength. Known as the 'white elite alien'.,"white alien, elite alien, strong alien",Strength
Humongousaur,Vaxasaurian,Size Growth & Strength,Humongousaur is a dinosaur-like alien who grows larger and stronger. Known as the 'giant dino alien'.,"giant alien, dinosaur alien, big strong alien",Strength
Jetray,Aerophibian,Neuroshock Beams & Flight,Jetray is a red-and-yellow winged alien who flies fast and shoots neuroshock blasts. Known as the 'flying red alien'.,"flying alien, red flying alien, laser alien",Flight
Kevin 11,Mutant,Multiple Powers Absorption,Kevin 11 is a mutant combining multiple alien abilities. Known as the 'combined alien'.,"mutant alien, hybrid alien, power absorption",Hybrid
NRG,Prypiatosian-B,Radiation Energy Release,NRG is a radioactive alien sealed in a heavy protective suit. Known as the 'radiation alien'.,"radiation alien, energy alien, radioactive suit",Energy
Ripjaws,Piscciss Volann,Aquatic Adaptation,Ripjaws is a fish-like alien adapted for underwater combat. Known as the 'aquatic alien'.,"fish alien, water alien, aquatic creature",Water
Spidermonkey,Arachnichimp,Web-Shooting & Agility,Spidermonkey is a monkey-spider hybrid alien with agility and webs. Known as the 'spider monkey alien'.,"monkey alien, spider alien, blue monkey",Agility
Stinkfly,Lepidopterran,Flight & Acid Spit,Stinkfly is an insect-like alien who flies and spits acid. Known as the 'bug alien'.,"bug alien, insect alien, flying insect",Flight
Swampfire,Methanosian,Regeneration & Fire Manipulation,Swampfire is a plant-based alien with fire control and regeneration. Known as the 'plant fire alien'.,"plant alien, fire plant, swamp alien",Fire
Turtlepin,Unknown,Shell Defense,Turtlepin is a turtle-like alien with strong defensive abilities. Known as the 'turtle alien'.,"turtle alien, shell alien",Defense
Ultimate Humungousaur,Vaxasaurian (Ultimate),Missile Launchers & Enhanced Strength,Ultimate Humungousaur is an armored evolution of Humungousaur with missile launchers. Known as the 'armored dino alien'.,"armored alien, missile alien, giant dino",Strength
Ultimate Rath,Appoplexian (Ultimate),Enhanced Strength & Combat Rage,Ultimate Rath is a stronger and more aggressive version of Rath. Known as the 'ultimate tiger alien'.,"tiger alien, strong alien, aggressive alien",Strength
Upgrade,Galvanic Mechamorph,Tech Manipulation,Upgrade merges with and enhances technology. Known as the 'tech alien'.,"tech alien, machine alien, upgrade alien",Technology
Vilgax,Chimera Sui Generis,Super Strength & Combat Mastery,Vilgax is a powerful warlord and Ben's main enemy. Known as the 'villain alien'.,"villain, strong villain, chimera alien",Villain
Water Hazard,Orishan,Water Jets & Hydro Manipulation,Water Hazard is a red armored alien who controls high-pressure water. Known as the 'water jet alien'.,"water alien, red water alien, hydro alien",Water
Way Big,To'kustar,Gigantic Strength,Way Big is a towering cosmic giant with incredible power. Known as the 'giant alien'.,"giant alien, tall alien, cosmic giant",Cosmic
Wildvine,Florauna,Vine Generation,Wildvine is a plant alien who creates vines and seeds. Known as the 'vine alien'.,"plant alien, vine alien, green plant alien",Plant
Upchuck,Gourmand,Energy Conversion,Upchuck is a small green alien who eats objects and converts them to energy blasts. Known as the 'eating alien'.,"eating alien, green alien, gourmand",Energy
Echo Echo,Sonorosian,Sonic Screaming & Duplication,Echo Echo is a small white alien who multiplies and uses sonic screams. Known as the 'sound alien'.,"sound alien, sonic alien, white alien",Sound
